State,District,Confirmed,Active,Recovered,Deceased
Andaman and Nicobar Islands,Nicobars,2560,852,84,78
Andaman and Nicobar Islands,North and Middle Andaman,4567,5424,4571,54
Andaman and Nicobar Islands,South Andaman,457,6523,547,52
Andaman and Nicobar Islands,Unknown,10724,8,10584,132
Andhra Pradesh,Anantapur,177614,8016,168493,1105
Andhra Pradesh,Chittoor,272388,19567,250821,2000
Andhra Pradesh,East Godavari,316589,6258,309031,1300
Andhra Pradesh,Foreign Evacuees,496,62,434,250
Andhra Pradesh,Guntur,203246,7598,194371,1277
Andhra Pradesh,Krishna,136888,1959,133435,1494
Andhra Pradesh,Kurnool,144246,8832,134546,868
Andhra Pradesh,Other State,2475,14,2461,45
Andhra Pradesh,Prakasam,155938,1352,153440,1146
Andhra Pradesh,S.P.S. Nellore,164369,4711,158568,1090
Andhra Pradesh,Srikakulam,133954,5756,127400,798
Andhra Pradesh,Unknown,18409,-106402,124808,1
Andhra Pradesh,Visakhapatnam,190938,23043,166710,1185
Andhra Pradesh,Vizianagaram,92244,6496,85068,680
Andhra Pradesh,West Godavari,193383,5520,186728,1135
Andhra Pradesh,Y.S.R. Kadapa,134887,7765,126470,652
Arunachal Pradesh,Anjaw,1150,12,1135,52
Arunachal Pradesh,Capital Complex,3413,365,3045,127
Arunachal Pradesh,Changlang,4261,1,4238,22
Arunachal Pradesh,East Kameng,1215,2,1213,0
Arunachal Pradesh,East Siang,3678,6,3654,18
Arunachal Pradesh,Kamle,584,25,585,0
Arunachal Pradesh,Kra Daadi,270,0,270,0
Arunachal Pradesh,Kurung Kumey,526,0,525,1
Arunachal Pradesh,Lepa Rada,1043,15,1025,3
Arunachal Pradesh,Lohit,3518,47,3443,28
Arunachal Pradesh,Longding,934,1,931,2
Arunachal Pradesh,Lower Dibang Valley,2860,15,2833,12
Arunachal Pradesh,Lower Siang,842,9,825,8
Arunachal Pradesh,Lower Subansiri,3604,16,3573,15
Arunachal Pradesh,Namsai,2785,47,2721,17
Arunachal Pradesh,Pakke Kessang,498,-1,499,0
Arunachal Pradesh,Papum Pare,18722,-3,18627,98
Arunachal Pradesh,Shi Yomi,303,-3,306,0
Arunachal Pradesh,Siang,443,2,438,3
Arunachal Pradesh,Tawang,2929,9,2899,21
Arunachal Pradesh,Tirap,1262,3,1254,5
Arunachal Pradesh,Upper Dibang Valley,393,12,379,2
Arunachal Pradesh,Upper Siang,1182,5,1176,1
Arunachal Pradesh,Upper Subansiri,2023,0,2017,6
Arunachal Pradesh,West Kameng,4289,19,4255,15
Arunachal Pradesh,West Siang,2043,0,2037,6
Assam,Baksa,2653,2643,0,10
Assam,Barpeta,4318,4296,0,22
Assam,Biswanath,2001,1986,0,15
Assam,Bongaigaon,2072,2055,0,17
Assam,Cachar,5736,5698,0,38
Assam,Charaideo,1222,1214,0,8
Assam,Chirang,1071,1068,0,3
Assam,Darrang,3506,3483,0,23
Assam,Dhemaji,2888,2882,0,6
Assam,Dhubri,2865,2863,0,2
